created,text,retweetCount
2017-06-29 03:59:25,"RT @HuffPostIndia: More than seven months after demonetisation, the RBI has started printing ₹200 notes: Report https://t.co/pfkGpHnccy htt…",2
2017-06-29 03:59:08,RT @RenukaJain6: Tweeting again. If you lost out opportunity to enter market demonetisation July will give you great buying opportunity for…,2
2017-06-29 03:59:03,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 03:59:03,@narendramodi @NischelBaxi But why did I lose my money. Where are my Rs 15000...? #DeMonetisation,1
2017-06-29 03:58:13,Demonetisation 2.0: Indian businesses brace for biggest-ever tax reform https://t.co/i7lQOR3MbE,0
2017-06-29 03:57:34,Patrakars n Liberals like @dhume crying about #DeMonetisation and #GST forget that the credibility of the implementor matters,1
2017-06-29 03:55:53,"RT @IMMugdhaSingh: They are printing Rs 200 notes, and I have a feeling that, this time, they'll invalidate our 100 rupee note. #DeMonetisa…",5
2017-06-29 03:55:40,"They are printing Rs 200 notes, and I have a feeling that, this time, they'll invalidate our 100 rupee note. #DeMonetisation phase 2...",5
2017-06-29 03:55:14,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 03:53:57,@tiwari_sd It should definitely be included. The demonetisation and the historic GST should also be there so that s… https://t.co/LV1XqAUQlp,0
2017-06-29 03:53:13,"Naming the planned rollout of the GST re July 1 as ""various epic screw up of the Center"", https://t.co/t10i7LjuLJ https://t.co/8yMn13fd6B",0
2017-06-29 03:53:09,"RT @RenukaJain6: 540 firms post profit for 10 straight quarters; 10 rise 1,000% in 2 years. Demonetisation critics?  Where r you ? https://…",12
2017-06-29 03:52:52,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 03:52:27,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 03:52:25,"RT @ShaileshMenonET: Printing of Rs 200 currency notes begins! Good story @saikatdasET @atmadiprayET! #demonetisation #remonetisation 
http…",2
2017-06-29 03:52:20,RT @sanjayuvacha: But wasn't  #DeMonetisation about curbing stone throwing and terrorism? https://t.co/bdwNWBYtRo,15
